floor_category,yearmon,sales_date,flat_lease_status,floor,project_name,area_sqft,unit_price_psf,type_of_sale,property_type,completion_status,postal_district,planning_region,planning_area
"11-20 floor",201901,2019-01-19,Freehold,12,"FYVE DERBYSHIRE",950,2269,"New Sale","Non-landed Properties",Uncompleted,11,"Central Region",Novena
"1-10 floor",201901,2019-01-19,Non-Freehold,1,"FOURTH AVENUE RESIDENCES",500,2285,"New Sale","Non-landed Properties",Uncompleted,10,"Central Region","Bukit Timah"
"1-10 floor",201901,2019-01-19,Non-Freehold,5,"FOURTH AVENUE RESIDENCES",700,2471,"New Sale","Non-landed Properties",Uncompleted,10,"Central Region","Bukit Timah"
"1-10 floor",201901,2019-01-19,Non-Freehold,9,"FOURTH AVENUE RESIDENCES",700,2504,"New Sale","Non-landed Properties",Uncompleted,10,"Central Region","Bukit Timah"
"1-10 floor",201901,2019-01-19,Non-Freehold,9,"FOURTH AVENUE RESIDENCES",700,2492,"New Sale","Non-landed Properties",Uncompleted,10,"Central Region","Bukit Timah"
"1-10 floor",201901,2019-01-19,Non-Freehold,2,"FOURTH AVENUE RESIDENCES",500,2343,"New Sale","Non-landed Properties",Uncompleted,10,"Central Region","Bukit Timah"
"1-10 floor",201901,2019-01-19,Non-Freehold,5,"FOURTH AVENUE RESIDENCES",950,2353,"New Sale","Non-landed Properties",Uncompleted,10,"Central Region","Bukit Timah"
"1-10 floor",201901,2019-01-19,Non-Freehold,5,"FOURTH AVENUE RESIDENCES",700,2387,"New Sale","Non-landed Properties",Uncompleted,10,"Central Region","Bukit Timah"
"1-10 floor",201901,2019-01-19,Non-Freehold,3,"FOURTH AVENUE RESIDENCES",1100,2325,"New Sale","Non-landed Properties",Uncompleted,10,"Central Region","Bukit Timah"
"1-10 floor",201901,2019-01-19,Non-Freehold,6,"FOURTH AVENUE RESIDENCES",650,2465,"New Sale","Non-landed Properties",Uncompleted,10,"Central Region","Bukit Timah"
"1-10 floor",201901,2019-01-19,Non-Freehold,3,"FOURTH AVENUE RESIDENCES",1500,2382,"New Sale","Non-landed Properties",Uncompleted,10,"Central Region","Bukit Timah"
"1-10 floor",201901,2019-01-19,Non-Freehold,6,"FOURTH AVENUE RESIDENCES",1500,2449,"New Sale","Non-landed Properties",Uncompleted,10,"Central Region","Bukit Timah"
"11-20 floor",201901,2019-01-19,Freehold,18,"FYVE DERBYSHIRE",950,2320,"New Sale","Non-landed Properties",Uncompleted,11,"Central Region",Novena
"1-10 floor",201901,2019-01-19,Non-Freehold,3,"FOURTH AVENUE RESIDENCES",950,2377,"New Sale","Non-landed Properties",Uncompleted,10,"Central Region","Bukit Timah"
"1-10 floor",201901,2019-01-19,Non-Freehold,2,"FOURTH AVENUE RESIDENCES",500,2343,"New Sale","Non-landed Properties",Uncompleted,10,"Central Region","Bukit Timah"
"11-20 floor",201901,2019-01-19,Non-Freehold,15,"STIRLING RESIDENCES",750,1778,"New Sale","Non-landed Properties",Uncompleted,3,"Central Region",Queenstown
"1-10 floor",201901,2019-01-19,Non-Freehold,3,"FOURTH AVENUE RESIDENCES",700,2354,"New Sale","Non-landed Properties",Uncompleted,10,"Central Region","Bukit Timah"
"1-10 floor",201901,2019-01-19,Non-Freehold,5,"FOURTH AVENUE RESIDENCES",500,2421,"New Sale","Non-landed Properties",Uncompleted,10,"Central Region","Bukit Timah"
"31 - 50 floor",201901,2019-01-19,Non-Freehold,34,ARTRA,1250,1815,"New Sale","Non-landed Properties",Uncompleted,3,"Central Region","Bukit Merah"
"1-10 floor",201901,2019-01-19,Non-Freehold,5,"FOURTH AVENUE RESIDENCES",1500,2445,"New Sale","Non-landed Properties",Uncompleted,10,"Central Region","Bukit Timah"
"1-10 floor",201901,2019-01-19,Non-Freehold,5,"FOURTH AVENUE RESIDENCES",700,2413,"New Sale","Non-landed Properties",Uncompleted,10,"Central Region","Bukit Timah"
"11-20 floor",201901,2019-01-19,Non-Freehold,10,"FOURTH AVENUE RESIDENCES",700,2490,"New Sale","Non-landed Properties",Uncompleted,10,"Central Region","Bukit Timah"
"1-10 floor",201901,2019-01-19,Non-Freehold,2,"FOURTH AVENUE RESIDENCES",700,2332,"New Sale","Non-landed Properties",Uncompleted,10,"Central Region","Bukit Timah"
"1-10 floor",201901,2019-01-19,Non-Freehold,5,"FOURTH AVENUE RESIDENCES",700,2453,"New Sale","Non-landed Properties",Uncompleted,10,"Central Region","Bukit Timah"
"1-10 floor",201901,2019-01-19,Non-Freehold,3,"FOURTH AVENUE RESIDENCES",1100,2290,"New Sale","Non-landed Properties",Uncompleted,10,"Central Region","Bukit Timah"
"1-10 floor",201901,2019-01-19,Non-Freehold,3,"FOURTH AVENUE RESIDENCES",700,2396,"New Sale","Non-landed Properties",Uncompleted,10,"Central Region","Bukit Timah"
"1-10 floor",201901,2019-01-19,Non-Freehold,3,"STIRLING RESIDENCES",800,1718,"New Sale","Non-landed Properties",Uncompleted,3,"Central Region",Queenstown
"11-20 floor",201901,2019-01-19,Freehold,13,"FYVE DERBYSHIRE",650,2572,"New Sale","Non-landed Properties",Uncompleted,11,"Central Region",Novena
"1-10 floor",201901,2019-01-19,Non-Freehold,4,"FOURTH AVENUE RESIDENCES",700,2400,"New Sale","Non-landed Properties",Uncompleted,10,"Central Region","Bukit Timah"
"1-10 floor",201901,2019-01-19,Non-Freehold,7,"THE TRE VER",1350,1567,"New Sale","Executive Condominium",Uncompleted,13,"Central Region","Toa Payoh"
"1-10 floor",201901,2019-01-19,Non-Freehold,7,"FOURTH AVENUE RESIDENCES",700,2452,"New Sale","Non-landed Properties",Uncompleted,10,"Central Region","Bukit Timah"
"1-10 floor",201901,2019-01-19,Non-Freehold,2,"FOURTH AVENUE RESIDENCES",500,2343,"New Sale","Non-landed Properties",Uncompleted,10,"Central Region","Bukit Timah"
"1-10 floor",201901,2019-01-19,Non-Freehold,2,"THE CLEMENT CANOPY",1350,1439,"New Sale","Non-landed Properties",Uncompleted,5,"West Region",Clementi
"1-10 floor",201901,2019-01-19,Non-Freehold,8,"FOURTH AVENUE RESIDENCES",450,2525,"New Sale","Non-landed Properties",Uncompleted,10,"Central Region","Bukit Timah"
"1-10 floor",201901,2019-01-19,Non-Freehold,3,"FOURTH AVENUE RESIDENCES",700,2383,"New Sale","Non-landed Properties",Uncompleted,10,"Central Region","Bukit Timah"
"21 - 30 floor",201901,2019-01-20,Non-Freehold,21,"PARC BOTANNIA",500,1395,"New Sale","Executive Condominium",Uncompleted,28,"North East Region",Sengkang
"11-20 floor",201901,2019-01-20,Non-Freehold,10,"THE TAPESTRY",600,1471,"New Sale","Executive Condominium",Uncompleted,18,"East Region",Tampines
"1-10 floor",201901,2019-01-20,Non-Freehold,6,"AFFINITY AT SERANGOON",600,1447,"New Sale","Non-landed Properties",Uncompleted,19,"North East Region",Serangoon
"1-10 floor",201901,2019-01-20,Non-Freehold,2,"RIVERFRONT RESIDENCES",700,1274,"New Sale","Non-landed Properties",Uncompleted,19,"North East Region",Hougang
"11-20 floor",201901,2019-01-20,Non-Freehold,10,"AFFINITY AT SERANGOON",600,1504,"New Sale","Non-landed Properties",Uncompleted,19,"North East Region",Serangoon
"11-20 floor",201901,2019-01-20,Non-Freehold,13,"THE TRE VER",750,1641,"New Sale","Executive Condominium",Uncompleted,13,"Central Region","Toa Payoh"
"11-20 floor",201901,2019-01-20,Non-Freehold,10,"THE TAPESTRY",1150,1271,"New Sale","Executive Condominium",Uncompleted,18,"East Region",Tampines
"21 - 30 floor",201901,2019-01-20,Non-Freehold,26,"WHISTLER GRAND",750,1465,"New Sale","Non-landed Properties",Uncompleted,5,"West Region",Clementi
"11-20 floor",201901,2019-01-20,Non-Freehold,11,"AFFINITY AT SERANGOON",550,1479,"New Sale","Non-landed Properties",Uncompleted,19,"North East Region",Serangoon
"1-10 floor",201901,2019-01-20,Non-Freehold,6,"WHISTLER GRAND",1050,1277,"New Sale","Non-landed Properties",Uncompleted,5,"West Region",Clementi
"11-20 floor",201901,2019-01-21,Freehold,12,"MARTIN PLACE RESIDENCES",1400,2006,Resale,"Executive Condominium",Completed,9,"Central Region","River Valley"
"11-20 floor",201901,2019-01-21,Freehold,15,RIVERGATE,2100,2166,Resale,"Non-landed Properties",Completed,9,"Central Region","Singapore River"
"1-10 floor",201901,2019-01-21,Freehold,3,"HUME PARK II",1700,1157,Resale,"Executive Condominium",Completed,21,"West Region","Bukit Batok"
"1-10 floor",201901,2019-01-21,Freehold,1,"57 @ KOVAN",1400,865,Resale,"Non-landed Properties",Completed,19,"North East Region",Hougang
"1-10 floor",201901,2019-01-21,Non-Freehold,8,"THE LUXURIE",1050,1194,Resale,"Executive Condominium",Completed,19,"North East Region",Sengkang
"11-20 floor",201901,2019-01-21,Freehold,15,"THOMSON 800",1400,1501,Resale,"Executive Condominium",Completed,11,"Central Region","Toa Payoh"
"1-10 floor",201901,2019-01-21,Freehold,3,"BEAVERTON COURT",3100,1339,Resale,"Executive Condominium",Completed,10,"Central Region","Bukit Timah"
NULL,201901,2019-01-21,Non-Freehold,NULL,D'MANOR,2700,588,Resale,"Terrace House",Completed,16,"East Region",Bedok
"21 - 30 floor",201901,2019-01-21,Non-Freehold,22,"MARGARET VILLE",950,1812,"New Sale","Non-landed Properties",Uncompleted,3,"Central Region",Queenstown
"11-20 floor",201901,2019-01-21,Non-Freehold,12,SUMMERDALE,1200,730,Resale,"Executive Condominium",Completed,22,"West Region","Jurong West"
"1-10 floor",201901,2019-01-21,Non-Freehold,2,"ROSEWOOD SUITES",1250,754,Resale,"Executive Condominium",Completed,25,"North Region",Woodlands
"1-10 floor",201901,2019-01-21,Non-Freehold,8,"URBAN VISTA",600,1385,Resale,"Executive Condominium",Completed,16,"East Region",Bedok
"1-10 floor",201901,2019-01-21,Freehold,3,"EDELWEISS PARK CONDOMINIUM",1350,853,Resale,"Executive Condominium",Completed,17,"East Region","Pasir Ris"
"11-20 floor",201901,2019-01-21,Non-Freehold,16,"MANDARIN GARDENS",2050,959,Resale,"Executive Condominium",Completed,15,"East Region",Bedok
"1-10 floor",201901,2019-01-21,Non-Freehold,5,"RIVERFRONT RESIDENCES",500,1275,"New Sale","Non-landed Properties",Uncompleted,19,"North East Region",Hougang
"1-10 floor",201901,2019-01-21,Non-Freehold,6,"ROXY SQUARE",600,1377,Resale,"Non-landed Properties",Completed,15,"Central Region","Marine Parade"
NULL,201901,2019-01-21,Non-Freehold,NULL,"LOYANG VILLAS",1650,882,Resale,"Terrace House",Completed,17,"East Region","Pasir Ris"
"11-20 floor",201901,2019-01-21,Non-Freehold,15,"SEASIDE RESIDENCES",1250,2022,"New Sale","Non-landed Properties",Uncompleted,15,"East Region",Bedok
"31 - 50 floor",201901,2019-01-21,Freehold,32,"VISTA RESIDENCES",1350,1566,Resale,"Executive Condominium",Completed,12,"Central Region",Novena
NULL,201901,2019-01-21,Non-Freehold,NULL,N.A.,3500,1869,Resale,"Semi-Detached House",Completed,21,"Central Region","Bukit Timah"
"11-20 floor",201901,2019-01-21,Non-Freehold,13,"EIGHT RIVERSUITES",700,1544,Resale,"Executive Condominium",Completed,12,"Central Region",Kallang
"1-10 floor",201901,2019-01-21,Non-Freehold,8,"HILLVIEW GREEN",1300,987,Resale,"Executive Condominium",Completed,21,"West Region","Bukit Batok"
"1-10 floor",201901,2019-01-21,Non-Freehold,3,SEAHILL,500,1424,Resale,"Executive Condominium",Completed,5,"West Region",Clementi
"11-20 floor",201901,2019-01-21,Non-Freehold,13,"THE SERENADE @ HOLLAND",1500,1161,Resale,"Executive Condominium",Completed,10,"Central Region","Bukit Timah"
"1-10 floor",201901,2019-01-21,Non-Freehold,9,"THE EDEN AT TAMPINES",1250,825,Resale,"Executive Condominium",Completed,18,"East Region",Tampines
NULL,201901,2019-01-21,Non-Freehold,NULL,"NIM COLLECTION",1950,1390,"New Sale","Terrace House",Uncompleted,28,"North East Region",Serangoon
"1-10 floor",201901,2019-01-21,Non-Freehold,6,ASTOR,1100,787,Resale,"Non-landed Properties",Completed,14,"East Region",Bedok
"11-20 floor",201901,2019-01-21,Freehold,14,RIVERGATE,1050,2275,Resale,"Non-landed Properties",Completed,9,"Central Region","Singapore River"
"1-10 floor",201901,2019-01-21,Freehold,4,"WARNER COURT",1250,1567,Resale,"Non-landed Properties",Completed,10,"Central Region","Bukit Timah"
"1-10 floor",201901,2019-01-21,Non-Freehold,7,SEASTRAND,1100,977,Resale,"Executive Condominium",Completed,18,"East Region","Pasir Ris"
"11-20 floor",201901,2019-01-21,Non-Freehold,10,LIVIA,1250,838,Resale,"Executive Condominium",Completed,18,"East Region","Pasir Ris"
"11-20 floor",201901,2019-01-21,Non-Freehold,12,"MARINA ONE RESIDENCES",1150,2415,"New Sale","Non-landed Properties",Completed,1,"Central Region","Downtown Core"
"1-10 floor",201901,2019-01-21,Non-Freehold,2,"EMERALD GARDEN",1250,2100,Resale,"Executive Condominium",Completed,1,"Central Region",Outram
"1-10 floor",201901,2019-01-21,Freehold,4,"SERAYA RESIDENCES",1150,1587,"New Sale","Non-landed Properties",Uncompleted,15,"Central Region","Marine Parade"
"1-10 floor",201901,2019-01-21,Freehold,5,SEASUITES,500,1819,"Sub Sale","Non-landed Properties",Completed,5,"Central Region",Queenstown
"1-10 floor",201901,2019-01-21,Non-Freehold,7,"BARTLEY RIDGE",1000,1378,Resale,"Executive Condominium",Completed,13,"Central Region","Toa Payoh"
"1-10 floor",201901,2019-01-21,Non-Freehold,7,"AZALEA PARK CONDOMINIUM",1500,921,Resale,"Executive Condominium",Completed,17,"East Region","Pasir Ris"
"1-10 floor",201901,2019-01-21,Non-Freehold,7,"RIO VISTA",1400,835,Resale,"Executive Condominium",Completed,19,"North East Region",Hougang
NULL,201901,2019-01-21,Freehold,NULL,N.A.,8950,1438,Resale,"Detached House",Completed,11,"Central Region","Bukit Timah"
"1-10 floor",201901,2019-01-21,Freehold,7,"MONARCHY APARTMENTS",1150,1161,Resale,"Non-landed Properties",Completed,11,"Central Region",Novena
"21 - 30 floor",201901,2019-01-21,Non-Freehold,25,"HARBOUR VIEW TOWERS",1200,1330,Resale,"Executive Condominium",Completed,4,"Central Region","Bukit Merah"
"1-10 floor",201901,2019-01-21,Non-Freehold,4,"REFLECTIONS AT KEPPEL BAY",1000,1557,Resale,"Executive Condominium",Completed,4,"Central Region","Bukit Merah"
"1-10 floor",201901,2019-01-22,Freehold,9,"THE ANCHORAGE",1150,1566,Resale,"Executive Condominium",Completed,3,"Central Region",Queenstown
"1-10 floor",201901,2019-01-22,Freehold,3,"COUNTRY PARK CONDOMINIUM",1350,1261,Resale,"Executive Condominium",Completed,16,"East Region",Bedok
"11-20 floor",201901,2019-01-22,Non-Freehold,18,"WATER PLACE",1300,1405,Resale,"Executive Condominium",Completed,15,"Central Region",Kallang
NULL,201901,2019-01-22,Freehold,NULL,N.A.,4200,595,Resale,"Semi-Detached House",Completed,25,"North Region","Sungei Kadut"
NULL,201901,2019-01-22,Non-Freehold,NULL,"LUXUS HILLS",1600,1846,Resale,"Terrace House",Completed,28,"North East Region",Serangoon
"1-10 floor",201901,2019-01-22,Non-Freehold,9,"SANCTUARY GREEN",1150,1302,Resale,"Executive Condominium",Completed,15,"Central Region",Kallang
"1-10 floor",201901,2019-01-22,Non-Freehold,8,"MARTIN MODERN",750,2594,"New Sale","Executive Condominium",Uncompleted,9,"Central Region","River Valley"
"11-20 floor",201901,2019-01-22,Non-Freehold,14,"NV RESIDENCES",1200,982,Resale,"Executive Condominium",Completed,18,"East Region","Pasir Ris"
"1-10 floor",201901,2019-01-22,Non-Freehold,6,"MELVILLE PARK",1350,654,Resale,"Executive Condominium",Completed,18,"East Region",Tampines
NULL,201901,2019-01-22,Freehold,NULL,"MAYFLOWER GARDENS",2050,1220,Resale,"Terrace House",Completed,20,"North East Region","Ang Mo Kio"
"11-20 floor",201901,2019-01-22,Non-Freehold,10,D'NEST,800,1097,Resale,"Executive Condominium",Completed,18,"East Region","Pasir Ris"
"11-20 floor",201901,2019-01-22,Non-Freehold,10,"EASTPOINT GREEN",1150,835,Resale,"Executive Condominium",Completed,18,"East Region",Tampines
"11-20 floor",201901,2019-01-22,Freehold,18,AALTO,2000,1917,Resale,"Executive Condominium",Completed,15,"Central Region","Marine Parade"
"21 - 30 floor",201901,2019-01-22,Freehold,23,"THE MARBELLA",1750,1835,Resale,"Executive Condominium",Completed,10,"Central Region","Bukit Timah"
NULL,201901,2019-01-22,Non-Freehold,NULL,WESTVILLE,1650,746,Resale,"Terrace House",Completed,22,"West Region","Jurong West"
"1-10 floor",201901,2019-01-22,Freehold,2,"HOLLAND MEWS",900,1747,Resale,"Non-landed Properties",Completed,10,"Central Region",Tanglin
"1-10 floor",201901,2019-01-22,Freehold,6,"BOON TECK TOWER",1650,1086,Resale,"Executive Condominium",Completed,12,"Central Region",Novena
"1-10 floor",201901,2019-01-22,Non-Freehold,4,"ESPARINA RESIDENCES",1000,1099,Resale,"Executive Condominium",Completed,19,"North East Region",Sengkang
"11-20 floor",201901,2019-01-22,Non-Freehold,14,"RIVER ISLES",1150,993,Resale,"Executive Condominium",Completed,19,"North East Region",Punggol
"1-10 floor",201901,2019-01-22,Non-Freehold,1,ARCHIPELAGO,1550,1097,Resale,"Executive Condominium",Completed,16,"East Region",Bedok
"1-10 floor",201901,2019-01-22,Non-Freehold,4,"ORCHID PARK CONDOMINIUM",950,762,Resale,"Executive Condominium",Completed,27,"North Region",Yishun
NULL,201901,2019-01-22,Freehold,NULL,N.A.,1500,1010,Resale,"Non-landed Properties",Completed,15,"East Region",Bedok
"1-10 floor",201901,2019-01-22,Non-Freehold,2,"THE TAPESTRY",600,1416,"New Sale","Executive Condominium",Uncompleted,18,"East Region",Tampines
NULL,201901,2019-01-22,Freehold,NULL,"SEMBAWANG HILLS ESTATE",2050,1388,Resale,"Semi-Detached House",Completed,20,"North East Region","Ang Mo Kio"
"1-10 floor",201901,2019-01-22,Non-Freehold,5,"THE NAUTICAL",950,981,Resale,"Executive Condominium",Completed,27,"North Region",Sembawang
"11-20 floor",201901,2019-01-22,Freehold,11,PARVIS,1000,2020,Resale,"Executive Condominium",Completed,10,"Central Region","Bukit Timah"
"11-20 floor",201901,2019-01-22,Freehold,14,"TWIN REGENCY",1000,1838,Resale,"Executive Condominium",Completed,3,"Central Region","Bukit Merah"
"11-20 floor",201901,2019-01-22,Non-Freehold,19,"COSTA DEL SOL",1250,1336,Resale,"Executive Condominium",Completed,16,"East Region",Bedok
"11-20 floor",201901,2019-01-22,Non-Freehold,11,"HILLION RESIDENCES",450,1836,Resale,"Non-landed Properties",Completed,23,"West Region","Bukit Panjang"
"1-10 floor",201901,2019-01-22,Freehold,3,"FAMILIE MANSIONS",1250,701,Resale,"Non-landed Properties",Completed,14,"Central Region",Geylang
"21 - 30 floor",201901,2019-01-22,Freehold,21,"SPOTTISWOODE SUITES",450,2447,Resale,"Non-landed Properties",Completed,2,"Central Region","Bukit Merah"
"1-10 floor",201901,2019-01-22,Freehold,5,"FERRARIA PARK CONDOMINIUM",1000,865,Resale,"Executive Condominium",Completed,17,"East Region","Pasir Ris"
"1-10 floor",201901,2019-01-22,Non-Freehold,9,D'LEEDON,2450,1547,Resale,"Executive Condominium",Completed,10,"Central Region","Bukit Timah"
"11-20 floor",201901,2019-01-22,Non-Freehold,12,"THE WARREN",1050,861,Resale,"Executive Condominium",Completed,23,"West Region","Choa Chu Kang"
NULL,201901,2019-01-23,Freehold,NULL,N.A.,2950,1306,Resale,"Terrace House",Completed,15,"East Region",Bedok
NULL,201901,2019-01-23,Freehold,NULL,N.A.,6550,1760,Resale,"Detached House",Completed,11,"Central Region",Novena
"1-10 floor",201901,2019-01-23,Non-Freehold,2,"VARSITY PARK CONDOMINIUM",1550,1178,Resale,"Executive Condominium",Completed,5,"West Region",Clementi
"1-10 floor",201901,2019-01-23,Non-Freehold,2,"THE LINEAR",1200,1012,Resale,"Non-landed Properties",Completed,23,"West Region","Bukit Panjang"
"1-10 floor",201901,2019-01-23,Non-Freehold,2,"STIRLING RESIDENCES",1000,1681,"New Sale","Non-landed Properties",Uncompleted,3,"Central Region",Queenstown
"21 - 30 floor",201901,2019-01-23,Non-Freehold,24,"SOLEIL @ SINARAN",1500,1952,Resale,"Executive Condominium",Completed,11,"Central Region",Novena
"31 - 50 floor",201901,2019-01-23,Non-Freehold,33,"SOUTH BEACH RESIDENCES",1900,3315,Resale,"Non-landed Properties",Completed,7,"Central Region","Downtown Core"
"11-20 floor",201901,2019-01-23,Non-Freehold,17,"THE VISION",1300,1302,Resale,"Executive Condominium",Completed,5,"West Region",Clementi
"11-20 floor",201901,2019-01-23,Freehold,16,"RESIDENCES @ EVELYN",1150,1911,Resale,"Executive Condominium",Completed,11,"Central Region",Novena
"1-10 floor",201901,2019-01-23,Non-Freehold,2,"NV RESIDENCES",900,894,Resale,"Executive Condominium",Completed,18,"East Region","Pasir Ris"
"11-20 floor",201901,2019-01-23,Non-Freehold,15,"THE MINTON",600,1217,Resale,"Executive Condominium",Completed,19,"North East Region",Hougang
"11-20 floor",201901,2019-01-23,Non-Freehold,11,"THE CANOPY",850,856,Resale,"Executive Condominium",Completed,27,"North Region",Yishun
NULL,201901,2019-01-23,Freehold,NULL,N.A.,15200,2032,Resale,"Detached House",Completed,10,"Central Region",Tanglin
"1-10 floor",201901,2019-01-23,Non-Freehold,6,"RIVERPARC RESIDENCE",1250,856,Resale,"Executive Condominium",Completed,19,"North East Region",Punggol
"11-20 floor",201901,2019-01-23,Non-Freehold,18,"COSTA DEL SOL",1300,1355,Resale,"Executive Condominium",Completed,16,"East Region",Bedok
"1-10 floor",201901,2019-01-23,Non-Freehold,4,"RIO VISTA",1250,841,Resale,"Executive Condominium",Completed,19,"North East Region",Hougang
NULL,201901,2019-01-23,Freehold,NULL,N.A.,1400,1080,Resale,"Non-landed Properties",Completed,15,"Central Region","Marine Parade"
"11-20 floor",201901,2019-01-23,Freehold,15,"THE WATERSIDE",2400,1721,Resale,"Executive Condominium",Completed,15,"Central Region",Kallang
"1-10 floor",201901,2019-01-23,Freehold,5,"PARK EAST",1300,1322,Resale,"Executive Condominium",Completed,15,"East Region",Bedok
"1-10 floor",201901,2019-01-23,Freehold,6,"ATRIUM RESIDENCES",1050,1006,Resale,"Non-landed Properties",Completed,14,"Central Region",Geylang
"11-20 floor",201901,2019-01-23,Non-Freehold,12,WHITEWATER,950,731,Resale,"Executive Condominium",Completed,18,"East Region","Pasir Ris"
"1-10 floor",201901,2019-01-23,Non-Freehold,7,"SKIES MILTONIA",1100,985,Resale,"Executive Condominium",Completed,27,"North Region",Yishun
"1-10 floor",201901,2019-01-23,Non-Freehold,4,"SIMS URBAN OASIS",1750,1418,Resale,"Executive Condominium",Completed,14,"Central Region",Geylang
"11-20 floor",201901,2019-01-23,Non-Freehold,15,"THE LUXURIE",1050,1082,Resale,"Executive Condominium",Completed,19,"North East Region",Sengkang
"1-10 floor",201901,2019-01-23,Non-Freehold,4,"ESPARINA RESIDENCES",1050,1079,Resale,"Executive Condominium",Completed,19,"North East Region",Sengkang
"1-10 floor",201901,2019-01-23,Non-Freehold,5,"YEW MEI GREEN",1350,682,Resale,"Executive Condominium",Completed,23,"West Region","Choa Chu Kang"
"11-20 floor",201901,2019-01-24,Non-Freehold,13,"THE TRE VER",700,1601,"New Sale","Executive Condominium",Uncompleted,13,"Central Region","Toa Payoh"
"1-10 floor",201901,2019-01-24,Non-Freehold,7,"RIVERFRONT RESIDENCES",900,1255,"New Sale","Non-landed Properties",Uncompleted,19,"North East Region",Hougang
"1-10 floor",201901,2019-01-24,Freehold,2,"CALLIDORA VILLE",750,1194,Resale,"Non-landed Properties",Completed,15,"East Region",Bedok
"1-10 floor",201901,2019-01-24,Non-Freehold,1,"VARSITY PARK CONDOMINIUM",1900,1077,Resale,"Executive Condominium",Completed,5,"West Region",Clementi
"1-10 floor",201901,2019-01-24,Non-Freehold,8,"MARINA ONE RESIDENCES",1150,2204,"New Sale","Non-landed Properties",Completed,1,"Central Region","Downtown Core"
"11-20 floor",201901,2019-01-24,Non-Freehold,11,RIVERSAILS,1350,1127,Resale,"Executive Condominium",Completed,19,"North East Region",Hougang
"1-10 floor",201901,2019-01-24,Non-Freehold,8,"PARC BOTANNIA",650,1329,"New Sale","Executive Condominium",Uncompleted,28,"North East Region",Sengkang
"11-20 floor",201901,2019-01-24,Non-Freehold,11,"AFFINITY AT SERANGOON",1100,1496,"New Sale","Non-landed Properties",Uncompleted,19,"North East Region",Serangoon
"11-20 floor",201901,2019-01-24,Non-Freehold,13,"THE INTERLACE",1600,1361,Resale,"Executive Condominium",Completed,4,"Central Region","Bukit Merah"
NULL,201901,2019-01-24,Freehold,NULL,"BENG TONG MANSION",900,1835,Resale,"Non-landed Properties",Completed,15,"Central Region","Marine Parade"
"1-10 floor",201901,2019-01-24,Non-Freehold,8,"WHISTLER GRAND",600,1318,"New Sale","Non-landed Properties",Uncompleted,5,"West Region",Clementi
"1-10 floor",201901,2019-01-24,Non-Freehold,2,"SUNRISE GARDENS",1300,820,Resale,"Executive Condominium",Completed,28,"North East Region","Ang Mo Kio"
"21 - 30 floor",201901,2019-01-24,Non-Freehold,27,"THE JADE",1350,1081,Resale,"Executive Condominium",Completed,23,"West Region","Bukit Batok"
"1-10 floor",201901,2019-01-24,Freehold,9,"PEACH GARDEN",2750,1330,Resale,"Non-landed Properties",Completed,15,"Central Region","Marine Parade"
"1-10 floor",201901,2019-01-24,Freehold,7,COSMO,400,1548,Resale,"Non-landed Properties",Completed,14,"Central Region",Geylang
"11-20 floor",201901,2019-01-24,Non-Freehold,10,"THE MINTON",1200,1061,Resale,"Executive Condominium",Completed,19,"North East Region",Hougang
"21 - 30 floor",201901,2019-01-24,Non-Freehold,25,"MARGARET VILLE",850,1786,"New Sale","Non-landed Properties",Uncompleted,3,"Central Region",Queenstown
"1-10 floor",201901,2019-01-24,Non-Freehold,1,REGENTVILLE,1150,671,Resale,"Non-landed Properties",Completed,19,"North East Region",Hougang
"1-10 floor",201901,2019-01-24,Freehold,6,"FERRARIA PARK CONDOMINIUM",1000,924,Resale,"Executive Condominium",Completed,17,"East Region","Pasir Ris"
"1-10 floor",201901,2019-01-24,Non-Freehold,1,NORTHWAVE,1150,864,"New Sale","Executive Condominium",Completed,25,"North Region",Woodlands
"1-10 floor",201901,2019-01-24,Non-Freehold,9,"PARC ESTA",1250,1574,"New Sale","Non-landed Properties",Uncompleted,14,"Central Region",Geylang
"1-10 floor",201901,2019-01-24,Freehold,9,"SUITES @ SURREY",900,1623,Resale,"Non-landed Properties",Completed,11,"Central Region",Novena
"1-10 floor",201901,2019-01-24,Freehold,7,"HILLVIEW HEIGHTS",950,1232,Resale,"Executive Condominium",Completed,23,"West Region","Bukit Batok"
"11-20 floor",201901,2019-01-24,Non-Freehold,15,"HIGH PARK RESIDENCES",700,1217,"Sub Sale","Non-landed Properties",Uncompleted,28,"North East Region",Sengkang
"1-10 floor",201901,2019-01-24,Non-Freehold,9,"WATERFRONT ISLE",950,1172,Resale,"Executive Condominium",Completed,16,"East Region",Bedok
NULL,201901,2019-01-24,Freehold,NULL,N.A.,3250,1132,Resale,"Semi-Detached House",Completed,16,"East Region",Bedok
"1-10 floor",201901,2019-01-24,Non-Freehold,2,"HEDGES PARK CONDOMINIUM",1100,846,Resale,"Executive Condominium",Completed,17,"East Region","Pasir Ris"
"1-10 floor",201901,2019-01-24,Non-Freehold,5,"PARC OLYMPIA",800,967,Resale,"Executive Condominium",Completed,17,"East Region","Pasir Ris"
"11-20 floor",201901,2019-01-24,Non-Freehold,15,"A TREASURE TROVE",900,1102,Resale,"Executive Condominium",Completed,19,"North East Region",Punggol
